Column name,Description
Satisfaction,Indicates the satisfaction level of the customer.
Customer Type,Type of customer: 'Loyal Customer' or 'Disloyal Customer’.
Age,Age of the customer.
Type of Travel,Purpose of the travel: 'Business travel' or 'Personal Travel’.
Class,"Class of travel: 'Business', 'Eco', or 'Eco Plus’."
Flight Distance,The distance of the flight in kilometres
Seat comfort,Rating of seat comfort provided during the flight (1 to 5).
Departure/Arrival time convenient,Rating of the convenience of departure/arrival time (1 to 5).
Food and drink,Rating of food and drink quality provided during the flight (1 to 5).
Gate location,Rating of gate location convenience (1 to 5).
Inflight wifi service,Rating of inflight wifi service satisfaction (1 to 5).
Inflight entertainment,Rating of inflight entertainment satisfaction (1 to 5).
Online support,Rating of online customer support satisfaction (1 to 5).
Ease of Online booking,Rating of ease of online booking satisfaction (1 to 5).
On-board service,Rating of on-board service satisfaction (1 to 5).
Leg room service,Rating of leg room service satisfaction (1 to 5).
Baggage handling,Rating of baggage handling satisfaction (1 to 5).
Checkin service,Rating of check-in service satisfaction (1 to 5).
Cleanliness,Rating of cleanliness satisfaction (1 to 5).
Online boarding,Rating of online boarding satisfaction (1 to 5).
Departure Delay in Minutes,Total departure delay in minutes.
Arrival Delay in Minutes,Total arrival delay in minutes.
